text,label
"Dorothy Stratten is the only reason to watch this unfunny sci-fi spoof, and her appearance is a disappointment. Though she has the title role, her screentime is limited, and she only speaks a few lines of dialogue. If you're not a Stratten fan, pass this one up.",0
"Okay, I've always been a fan of Batman. I loved the animated series, and even Batman Beyond. I even read a batman comic now and then. So as can be imagined--I was a little excited when I heard about this series, and then I was SEVERELY disappointed. This series is nothing. It doesn't even begin to compare with the original series. It's like one long TOY commercial. No depth whatsoever. And what the heck was with the Joker? Who,in my most humble opinion, is the best Batman villain of ALL time and they KILLED him. I wish I could say his design was the worst part. Actually, I wish I could say there was anything about this series that was remotely creative or interesting. In short (because believe me I could say so much more)do NOT waste your time on this show, or your money.",0
"This film has nothing whatever to do with the Sphinx, and the title is just a come-on. The story concerns an imagined true and concealed tomb in the Valley of the Kings, of King Seti I, second pharaoh of the 19th Dynasty, New Kingdom period. It is not a bad yarn, and a great deal of the film is shot on location. Even the scenes in the Winter Palace Hotel lobby in Luxor were really shot there, and not in a studio. The second unit stuff is endless, and they must have been let loose on Egypt for weeks. Frank Langella is very good indeed as a sophisticated Egyptian. He should take it up as a sideline. The film is essentially ruined by one of the world's most irritating actresses, Lesley Anne Down, who plays the lead. She spends the whole film wondering how she looks, are her blue eyes refracting light at the correct angle, do all the fellas lust after her, etc. Having started life as a model at the age of ten, what hope could there be for her? She epitomises everything that is most revolting about female vanity and dim-witted inanity. And to think that this film was directed by Franklin Shaffner, who won an Oscar for 'Patton'! He allows this terrible actress to whimper and simper through the film, hysterical one moment, flirting the next, in a kind of hurricane of idiocy as she reels from one man to another, either screaming or making bedroom eyes, it matters not. She is supposed to be a young Egyptologist. But she has never been to Egypt before! She takes a taxi to Giza and catching her first glimpse of the pyramids, gushes in ecstasy: 'But they're so BIG!!!!' Barf! OK, so that was the script, but she takes to the banality too readily, giving the impression that it is her natural element, which I don't doubt for a minute. Elements of the story are sound. There is, indeed, a serious problem about a black market in antiquities there. True! Well done! The novel by Robin Cook, which I have not seen, may be OK for all I know. It was fun to see the name of Cyril Swern as sound recordist on the film, as I knew him pretty well long ago. Stanley Kubrick's step-daughter Katharina is described as 'draughtswoman'. I wonder what that means? Maybe she did some set work. Anyway, the antiquities in the film are pretty good, actually. And we get to see lots of the Cairo Museum and numerous scenic locations. They actually go inside King Tutankhamun's Tomb! I don't imagine that would be allowed today for a movie. A lot of inappropriate scenes take place in mosques. That would not go down well today, but in 1981 such things were not on the agenda. The music for the film is absolutely appalling, worse than Lesley Anne Down in fact! But there were sound track elements which were surprisingly authentic, one being the cacophony of traffic noise of Cairo, which is accurately rendered in the background, and would make anyone who knows Cairo chuckle nervously. Also, the loudspeaker calls to prayer are there the whole time, another touch of authenticity. Why didn't they get this right? It could have been good.",0
"Teen Deviyaan is a great film. A very breezy entertainer and a very modern film for its time in the 1960s. The Music and songs are terrific though the lyrics of Majrooh are meaningless at places. Dev Anand is a tremendous star and as usual does great justice to his role. Kalpana is sexy and Nanda is OK. Simi too is just about OK. The film has terrific dialogue by Vrajendra Gaur who wrote most of Dev Anand's films like Mahal, Duniya, Warrant, Jaali Note, Manzil, etc.etc.<br /><br />It is a story of Dev getting attracted to three females - the mod Kalpana, Simi and the homely Nanda. He eventually opts for Nanda. The story is about OK but its been narrated in a gripping way and the dialogue and Songs and the great Dev Anand are the highlight of the film. A must watch film for all Dev Anand fans.",1
"Thanks to Warner Archive, I can once again see this mammoth variety show which throws in everything but the kitchen sink. (The bathtub, however is present.) This film gives screen time to every person who was under contract to Warners at the time. If some of the artists seem unfamiliar to some, it is because they were big in the silent days, and most faded with the popularity of the talkies. There are some truly remarkable artists from the vaudeville era as well. You will be most impressed with Winnie Lightner, who performs two numbers. Also there is that French star, Irene Bordoni who croons a love song in a sexy manner. Perhaps one of the biggest highlights is the two-strip Technicolor ""Chinese Fantasy,"" which has been restored for this version. It is truly beautiful and it stars Myrna Loy and Nick Lucas. Finally, there is the massive ""Lady Luck"" finale which goes on for nearly a quarter of an hour. This is truly an epic of the early-talkie era. Any old-movie buff will love this.",1
"Having seen the short a number of times at horror movie marathons, I believe it to be a humorous parody that slices to the main point of its reference.<br /><br />Though the themes are crusty and stale to today's viewers, it is by no means a crumby waste of time.<br /><br />Though being a student film gives little rise to an excuse, the proof is that it appears crafted with care on a budget of little to no dough.<br /><br />As noted by another reviewer, it is less than ten minutes which is plenty of time to cleanse the viewing palate with a toast of joy, sit back and loaf idly through the film.<br /><br />I think this short-bread of a film should be enjoyed as an appetizer for the title reference and the viewer should relax and roll with it.",1
"I picked this title up from a friend who had it sitting in his exhaustive DVD/Video/Laserdisc collection, so luckily I didn't personally have to pay for it. I had an inkling that it would be a bad film, but I KNOW what a truly bad film is after watching greats like Children Shouldn't Play With Dead Things and The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies, and now there is truly nothing that fazes me unless it is astoundingly bad.<br /><br />Solar Crisis is bad, but it doesn't reach that sweet spot of absolute pain that some movies are at.<br /><br />Anyway, the general plot is that the sun is about to unleash a huge solar flare towards the earth that will essentially destroy it. In order to counter-act this imminent threat, humanity has assembled a spaceship and crew whose duty it is to fire an antimatter bomb (which the opening describes as ""the biggest explosive ever"") into the sun, which through some convoluted sci-fi logic will cause the flare to shoot out at a different angle, leaving earth unharmed.<br /><br />Never mind that what I have just described to you sounds like a bad episode of the original Star Trek. Even with an ensemble cast (Charlton Heston, Peter Boyle, and Jack Palance), Solar Crisis can barely manage that level of mediocrity, thanks to a plot that starts simple, yet becomes increasingly nonsensical as time wears on.<br /><br />The crowning achievement of this debacle of a movie is the addition of a villain character (played by Boyle) who insists on sabotaging the mission. Through means that are never explained, he sends an evil minion with an embarrassingly bad haircut to exercise some sort of vague electronic mind control over the space crew's genetically engineered scientist, played by female lead Annabel Schofield. Why is he sabotaging the mission? Because by his moronic viewpoint, he believes the flare won't happen and that when it doesn't, he will become fabulously wealthy because he has dug his evil claws into the stock market. In effect, you have a villain with the most absurdly stupid motivation imaginable.<br /><br />The film's plot becomes amazingly convoluted and develops very slowly, in time tapping the use of characters who have only vague or uselessly brief roles in the storyline. I could sit here and explain in detail precisely what happens to demonstrate the sheer inability of the screenwriter to make a plot that actually clicks or holds your attention, but I am sitting here writing this review on Microsoft Word and I know for a fact that this would take three pages, and I would only succeed in losing your interest. But then again, you would probably get the same effect from watching the film.<br /><br />Anyway, the film is miserably bogged down with exceedingly poor dialogue. Imagine if all that ever happened on the Star Trek Enterprise was that the characters spewed sci-fi jargon back and forth at each-other. Yes, I know, they already do that, but imagine if that's ALL they did, and that they used said jargon to set up vague and near-nonsensical scenes that produce no excitement, tension, or interest in the viewer whatsoever.<br /><br />This is best exemplified at the point when a character in a Zero-G environment screws a bolt back onto a metal box before proceeding to cry in agony for a couple of minutes before suddenly exploding. The script alludes previously to the character risking an explosion, but doesn't bother to give any solid answer as to why or how this occurs, nor why he can't really escape. In totality, you have a sorry cross between the bizarre and the laughable.<br /><br />Then we have several scenes where dramatic build-up leads to nothing. Jack Palance's performance is wasted on a character that serves only to drive the boy hero (don't ask) around the desert, before getting roughed up and killed by a bunch of suits. On his death-bed, Palance finally tells our boy hero his last name (while wearing a horrible bruised makeup job that makes it look like somebody put a balloon under his eyeball), which he kept quiet about before. Colonel Travis J. Richards. The boy repeats it quietly after he expires, giving viewers the impression that the name is of some significance later on in the film. Perhaps Charlton Heston's grizzled admiral character knows him and the plot will advance thereby once his name is repeated. Something. Anything.<br /><br />Nope. Sorry. Any hopes you have will be dashed when this moment turns out only to be another of many pathetic, failed attempts at creating dramafor a character so flat and hackneyed that it will forever be a stain on Palance's career, just as those of the rest of the cast are similarly marred.<br /><br />Completing the film is a painfully abrupt ending featuring Schofield piloting the bomb into the center of the sun in an effort to redeem her deeds while under the villain's spell, a climax which features another of the film's considerably well-done visual effects sequences that, even for the visibly elaborate care put into them, still always manage to make the film look just as chintzy as it really is. The saddest part about this film is the obviously large budget, tragically wasted on a stinker of a script and a supporting cast behind Boyle, Heston, and Palance that manage to nail the coffin shut with pure over-acting.<br /><br />Grade: D-",0
"Well someone who enjoys traveling down the highway at 120kmph, eating McDonalds, and running the air conditioner twenty four seven, and watching Fox News non-stop, I found this documentary interesting. One thing I picked up, when they being they talk about North America, I assume this documentary was Fabrique Au Canadie. For the Canadian bashing I will leave that to Bill O'Reilly.<br /><br />The consequence of the depletion of oil will affect everyone, especially those who live in big countries of Australia, Canada and the United States. I am sure that Green Peace are cheering no more gas, means no more SUVs, without realizing people who live in the sub zero temperatures could starve to death. <br /><br />As someone who has studied economics, I know for a fact we are living in a world of finite resources. I will give the documentary props for trying to present a balanced point of view about the depletion of oil. However I am studying a degree in journalism, this documentary is full of loaded messages - Republican as warmongers. What the Democrats didn't send troops to Vietnam? <br /><br />If you are going to present a documentary about economics and resources, it is best to leave the political bashing to one side, because it could cause a potential audience member to totally shut down. Concentrate on the issue of finite resources. At the end of the day, it is best to open the minds of the mainstream, as it is no good preaching to the minuscule choir. <br /><br />I really do enjoy watching documentaries such as Fahrenheit 911, and End of Suburbia not for their political bias, because they do remind us the world isn't so safe. Sure I like to shop, and consumer junk food like there is no tomorrow, but if the world is going to end tomorrow I would rather die rich and consume the living beep out of it. <br /><br />For the potential documentary makers out there, just give the people facts, and let the viewers make up their own minds. If you are trying package your political views as a balanced documentary the people are going to smell a rat a mile away.",1
"It's a soap-opera drawing upon an applied ethics idea. A movie about human suffering and death is not necessarily a good movie. I didn't get any emotion from it, the ideas are not at all new, the tension lacks, it becomes tedious towards the second half but towards the end I think it becomes quite interesting in a burlesque way. I mean you have this middle-aged, paralyzed bald guy who gets more women than Don Juan. He doesn't seem to suffer as much as you would expect from someone completely paralyzed for over 28 years, he has no issues with God (and one would probably expect that too), the people around him seem to be the perfect slaves (I can't get out of my mind Bergman's Cries and Whispers, similar to this one in many respects, which simply bursts with emotions, and not all of them humane) etc. This movie is the perfect recipe for housewives who look for some emotional thrill but don't expect to be blown away. The movie is worth seeing among all the cynicism we get today for its sincere intention to present a modern ethical issue without any desire to arouse the viewer. Amenabar doesn't rub your face in it and he doesn't take sides, he doesn't want to make us fanatics for a particular idea. Still I have no clue as to why this movie was so highly regarded.",1
"I caught this movie on late-night TV. Honestly i saw most of it, and the whole time i was sitting in complete and utter disbelief.<br /><br />Is there any genre that's more pointless than soft-core porn? If there is i don't want to know about it. Softcore porn combines all the horrors of porn (lousy production values, abominable acting, crappy scripts) with the coyness of sex-scenes in regular movies. So the end result is arousing nor entertaining. This movie also has the rather odd approach of a science-fiction setting, and it works horribly. All the sex is performed in some sort of virtual reality setting where the crew from the future learn about physical love. And yes, it's about as confused and silly as it sounds.<br /><br />But there has to be some positive points though, right? Well, there is one... Krista Allen is amazingly hot. That's about the only thing that was less than awful in this movie. I don't know what it is about her, but she has an amazing sex appeal. The rest of the cast look like the standard porn-cast though. Rather unattractive women with poorly done fake breasts, and men that have spent far too much time in the gym toning themselves grotesque. Probably a gym in Germany as well judging by haircuts and clothing.<br /><br />To sum things up. If you enjoy Krista Allens presence on screen you can watch this for the brief moments where she shows some of her seductive potential (most of the time she tries to articulate crappy lines of dialog though). If you don't enjoy Krista Allen then you might as well stay away altogether.<br /><br />I rate this 10/10 for Krista Allens sex appeal, 1/10 for everything else and 2/10 for entertainment value since this is a unique crappy porn/science fiction hybrid that's not really like anything i've ever seen.",0
